Number,Gender,GivenName,Surname,TelephoneNumber,Birthday,Zodiac,Membership,BloodType,Pounds,Weight,Height,BMI
5649,male,Okwuoma,Nkemjika,083 143 1740,10-24-1967,Scorpio,01-09-2019,A+,211.4,96.1,181,29.3337
5650,male,Takeshi,Koyanagi,083 364 8691,7-13-1994,Cancer,01-05-2020,O+,177.3,80.6,190,22.3269
5651,male,Nikon,Ponomarev,084 509 9539,12-07-1993,Sagittarius,01-01-2019,B+,163.5,74.3,184,21.9459
5652,male,Ben,Kirkland,083 561 6586,3-19-1992,Pisces,01-08-2017,O-,144.1,65.5,182,19.7742
5653,female,Ezinne,Chialuka,085 319 0227,5-21-1973,Gemini,01-07-2020,O+,125.2,56.9,174,18.7938
5654,female,Qiao,Ni,084 405 3112,02-09-1953,Aquarius,01-09-2016,O+,215.6,98,171,33.5146
5655,male,Leo,Mountford,084 207 8032,6-25-1976,Cancer,01-08-2017,A+,225.7,102.6,168,36.352
5656,male,Chineze,Otutodilinna,084 843 8385,09-07-1956,Virgo,01-05-2019,A+,196.5,89.3,174,29.4953
5657,female,Maggie,Paterson,082 365 7322,2-16-1986,Aquarius,01-06-2018,O+,109.6,49.8,163,18.7436
5658,male,Binya,Tsuchii,085 440 3758,10-18-1952,Libra,01-09-2016,B+,203.3,92.4,166,33.5317
5659,male,Nikita,Alekseyeva,082 426 9937,7-24-1964,Leo,01-02-2019,O+,142.8,64.9,182,19.593
5660,female,Li Hua,Mai,084 291 0949,2-26-1984,Pisces,01-03-2020,A-,130.9,59.5,168,21.0813
5661,male,Brodie,Wang,084 528 7155,02-03-1992,Aquarius,01-12-2016,O+,180.6,82.1,175,26.8082
5662,male,Enemuo,Nebeuwa,085 103 9577,7-17-1953,Cancer,01-10-2018,A+,199.8,90.8,177,28.9827
5663,female,Efimiya,Konovalova,083 339 3891,6-19-1978,Gemini,01-10-2018,A+,146.5,66.6,163,25.0668
5664,male,Jacopo,Lombardo,084 956 6143,12-19-1992,Sagittarius,01-04-2019,A+,171.6,78,167,27.968
5665,male,Brian,Teasley,082 504 4762,09-02-1971,Virgo,01-11-2018,O+,182.2,82.8,185,24.1928
5666,female,Miya,Saikawa,082 438 3414,11-08-1984,Scorpio,01-01-2018,O+,126.3,57.4,169,20.0973
5667,female,Lian,Y?,084 761 1658,8-31-1951,Virgo,01-01-2016,O+,120.1,54.6,152,23.6323
5668,male,Iruma,Tashiro,082 496 4603,10-08-1977,Libra,01-11-2018,B+,207.7,94.4,175,30.8245
5669,female,Himeka,Hayashida,084 156 2057,4-30-1966,Taurus,01-04-2018,O+,218.7,99.4,166,36.072
5670,male,Damien,Wallace,082 137 5472,6-20-1975,Gemini,01-03-2016,AB+,199.5,90.7,180,27.9938
5671,female,Zhen Juan,Ho,082 381 7570,5-22-1960,Gemini,01-07-2020,B+,176.9,80.4,153,34.3458
5672,female,Jeanne,Bishop,085 598 8365,01-06-1976,Capricorn,01-09-2020,A+,168.5,76.6,166,27.7979
5673,male,Joseph,Henry,082 515 6605,5-15-1971,Taurus,01-02-2020,O+,221.3,100.6,175,32.849
5674,male,Cameron,Plume,084 471 8679,4-15-1967,Aries,01-05-2018,A+,251.7,114.4,182,34.5369
5675,male,Hleb,Nevzorov,085 660 5706,9-22-1957,Virgo,01-05-2017,B+,249.7,113.5,187,32.4573
5676,male,Nahum,Bykov,083 209 8092,5-26-1977,Gemini,01-07-2016,A+,200.9,91.3,175,29.8122
5677,male,Hidaka,Yamaguchi,083 217 6906,12-05-1957,Sagittarius,01-03-2016,O-,228.6,103.9,186,30.0324
5678,female,Chan,Su,085 381 8655,10-18-1978,Libra,01-03-2017,O+,224.4,102,163,38.3906
5679,female,Eva,Harcus,082 957 7276,7-25-1978,Leo,01-10-2016,O-,189.4,86.1,157,34.9304
5680,female,Matilda,Selezneva,082 264 7637,03-05-1963,Pisces,01-09-2019,A-,159.1,72.3,168,25.6165
5681,male,Vitaly,Bobrov,084 364 5877,09-11-1992,Virgo,01-04-2018,O+,145.9,66.3,183,19.7975
5682,female,Hoshika,Nakashima,085 101 9200,11-08-1961,Scorpio,01-01-2017,O+,129.1,58.7,154,24.7512
5683,female,Hyiab,Dahlak,085 568 9032,11-12-1973,Scorpio,01-11-2020,B+,171.6,78,157,31.6443
5684,male,Innocenzo,Romano,083 981 6317,05-10-1955,Taurus,01-04-2020,A-,151.6,68.9,176,22.243
5685,female,Mika,Deguchi,085 902 7028,11-29-1990,Sagittarius,01-02-2019,AB+,171.8,78.1,161,30.13
5686,male,Vsevolod,Ermakov,083 373 5199,03-03-1953,Pisces,01-09-2020,O+,179.1,81.4,173,27.1977
5687,male,Osman,Haylom,083 885 1605,12-12-1973,Sagittarius,01-07-2016,O+,166.8,75.8,184,22.3889
5688,male,Kendall,Folden,082 941 2669,7-28-1994,Leo,01-01-2017,O-,194.9,88.6,181,27.0444
5689,male,Marco,Reid,083 290 4425,4-17-1988,Aries,01-09-2017,A+,158,71.8,179,22.4088
5690,female,Kirstie,Crawford,082 539 1335,9-21-1968,Virgo,01-11-2019,O+,117.7,53.5,154,22.5586
5691,male,Edward,Barefoot,085 642 6921,07-10-1972,Cancer,01-11-2016,A+,190.5,86.6,188,24.502
5692,male,Dong,Ch'ien,084 612 8763,10-24-1952,Scorpio,01-11-2019,A+,237.6,108,186,31.2175
5693,male,Sun,Ch'iu,083 348 1203,6-25-1987,Cancer,01-07-2017,O+,135.7,61.7,168,21.8608
5694,male,Michael,Tamayo,085 799 0706,7-30-1988,Leo,01-01-2019,O+,214.3,97.4,179,30.3986
5695,male,Iroawuchi,Chidiebere,085 748 6227,11-05-1989,Scorpio,01-02-2020,A+,202,91.8,173,30.6726
5696,male,Onyekachukwu,Onodugoadiegbemma,084 324 2573,7-29-1985,Leo,01-09-2016,O+,132.7,60.3,172,20.3826
5697,male,Finn,Shang,083 706 9310,2-18-1992,Aquarius,01-01-2018,A+,175.1,79.6,172,26.9064
5698,male,Neil,Mackay,082 457 8602,6-25-1986,Cancer,01-08-2016,A+,193.2,87.8,179,27.4024
5699,male,Gore,Fomin,084 883 8689,11-03-1991,Scorpio,01-12-2019,O+,189.6,86.2,177,27.5144
5700,male,Kang,Li,082 818 3468,2-18-1993,Aquarius,01-05-2016,O+,143.9,65.4,171,22.3659
5701,female,Faina,Pokrovskaya,085 947 8849,10-14-1985,Libra,01-06-2018,A+,176.7,80.3,163,30.2232
5702,male,Jaxon,Murtagh,085 867 3071,11-09-1986,Scorpio,01-04-2018,O+,153.1,69.6,175,22.7265
5703,male,Kyousuke,Takemura,082 904 6722,9-24-1975,Libra,01-08-2018,O+,174.7,79.4,174,26.2254
5704,male,Giuliano,Rizzo,083 203 0656,5-15-1972,Taurus,01-01-2020,O+,211.2,96,170,33.218
5705,female,Tilly,Walsh,084 492 7955,4-28-1989,Taurus,01-09-2016,O+,142.1,64.6,155,26.8887
5706,male,You,Chiu,082 396 7427,12-06-1957,Sagittarius,01-12-2019,AB+,144.5,65.7,166,23.8424
5707,male,Rowan,Ross,082 176 4562,5-29-1952,Gemini,01-01-2019,B+,137.5,62.5,176,20.1769
5708,female,Sopuluchi,Chukwukere,083 512 6636,10-22-1989,Libra,01-04-2016,A+,128.5,58.4,154,24.6247
5709,male,Seth,Robertson,082 514 1498,09-05-1972,Virgo,01-04-2017,AB+,152.7,69.4,170,24.0138
5710,male,Masakazu,Shirakawa,085 371 0115,02-05-1979,Aquarius,01-06-2019,O+,205.7,93.5,179,29.1814
5711,male,Taj,Lay,082 168 0883,12-12-1957,Sagittarius,01-03-2020,B+,210.5,95.7,184,28.2668
5712,male,Pasquale,Pinto,084 153 1882,1-29-1982,Aquarius,01-02-2020,O+,239.1,108.7,183,32.4584
5713,male,Ali,Selam,083 305 4902,7-18-1965,Cancer,01-11-2019,O+,220.9,100.4,184,29.655
5714,male,Tsuneharu,Murai,084 300 9082,12-13-1958,Sagittarius,01-07-2019,B+,236.1,107.3,178,33.8657
5715,female,Xiaoming,Yen,084 356 4001,4-29-1963,Taurus,01-11-2018,B+,192.7,87.6,174,28.9338
5716,female,Sophie,Newdegate,082 794 4606,10-08-1967,Libra,01-01-2017,O+,213.4,97,158,38.856
5717,male,Prospero,Costa,082 975 7123,11-09-1973,Scorpio,01-07-2017,O+,168.3,76.5,173,25.5605
5718,male,Yoshimitsu,Kishi,084 166 6178,09-08-1989,Virgo,01-04-2019,B+,194.9,88.6,176,28.6028
5719,female,Nina,Agapova,082 119 8842,05-12-1974,Taurus,01-12-2018,O+,119,54.1,163,20.3621
5720,male,Albertino,Rossi,083 877 3634,7-28-1983,Leo,01-01-2020,O+,194.5,88.4,183,26.3967
5721,male,Harry,Seddon,084 145 8197,6-25-1993,Cancer,01-09-2018,B-,150.7,68.5,184,20.2328
5722,female,Megan,Owen,082 639 6800,2-20-1973,Pisces,01-08-2020,O+,199.3,90.6,158,36.2923
5723,female,Amna,Wallace,085 730 1849,06-12-1973,Gemini,01-09-2020,O+,194.5,88.4,171,30.2315
5724,male,Earl,Flores,082 969 9141,9-18-1955,Virgo,01-06-2019,O+,236.3,107.4,171,36.7293
5725,male,Blake,Buring,085 442 3555,4-29-1963,Taurus,01-06-2016,A+,210.1,95.5,179,29.8056
5726,male,Shi,Hs?eh,085 800 4985,03-07-1988,Pisces,01-02-2017,A+,207,94.1,180,29.0432
5727,female,Ukamaka,Chikelu,083 273 4862,12-04-1957,Sagittarius,01-05-2019,B+,127.4,57.9,170,20.0346
5728,female,Angela,Russo,083 220 3346,3-19-1988,Pisces,01-06-2019,O+,199.8,90.8,172,30.6923
5729,male,Alarico,Pisani,082 914 9871,01-03-1983,Capricorn,01-09-2017,O+,194.9,88.6,182,26.748
5730,female,Amiee,Shaw,082 109 8495,09-09-1987,Virgo,01-06-2018,O+,140.8,64,163,24.0882
5731,male,Joseph,McIntyre,083 401 5989,03-04-1958,Pisces,01-02-2018,B+,222,100.9,182,30.4613
5732,female,Ijenuwa,Otutodilichukwu,085 399 3855,6-30-1992,Cancer,01-12-2017,B+,112,50.9,172,17.2052
5733,female,Birikti,Luwam,082 435 3639,2-26-1973,Pisces,01-01-2017,B+,203.5,92.5,169,32.3868
5734,male,Welde,Asmara,082 474 7498,07-09-1987,Cancer,01-05-2017,O+,168.1,76.4,168,27.0692
5735,male,Asmara,Abel,085 459 6148,11-07-1993,Scorpio,01-04-2018,O+,176.4,80.2,175,26.1878
5736,male,Okonkwo,Akudinobi,084 170 0970,2-15-1963,Aquarius,01-01-2017,O+,235.8,107.2,182,32.3632
5737,male,Derek,Pafford,083 754 0929,06-10-1964,Gemini,01-04-2017,B+,164.8,74.9,176,24.18
5738,female,Ryouko,Sakaguchi,085 705 7373,6-23-1993,Cancer,01-08-2020,A+,135.1,61.4,160,23.9844
5739,male,Jackson,Grimley,085 739 5589,4-24-1994,Taurus,01-04-2016,O+,137.7,62.6,169,21.918
5740,female,Tammy,Dixon,084 416 0744,4-24-1985,Taurus,01-11-2017,O+,151.6,68.9,165,25.3076
5741,male,Bisrat,Robel,083 380 2420,11-03-1953,Scorpio,01-11-2020,O+,219.3,99.7,184,29.4483
5742,male,Floyd,Fisher,084 291 1305,11-07-1963,Scorpio,01-05-2016,AB+,211.2,96,171,32.8306
5743,female,Natasha,Pethebridge,085 589 1706,10-28-1977,Scorpio,01-04-2017,O-,190.3,86.5,172,29.2388
5744,female,Brooke,Allnutt,082 788 4563,07-05-1982,Cancer,01-03-2020,O+,131.8,59.9,167,21.478
5745,male,Scott,Douglas,083 647 7763,8-15-1949,Leo,01-02-2016,A+,231.7,105.3,176,33.9941
5746,male,Haylom,Semere,084 340 4660,08-10-1965,Leo,01-02-2016,B+,209.9,95.4,178,30.1098
5747,male,Terzo,Trevisano,082 738 0828,08-06-1984,Leo,01-01-2020,A-,200.6,91.2,176,29.4421
5748,male,Larry,Youngblood,082 409 6370,10-28-1955,Scorpio,01-02-2017,B-,193.4,87.9,171,30.0605
5749,male,Dementi,Aksyonov,082 804 5444,07-12-1980,Cancer,01-04-2016,A+,250.8,114,190,31.5789
5750,male,Brandon,Barela,082 232 9636,7-18-1958,Cancer,01-03-2018,O+,236.9,107.7,170,37.2664
5751,male,Leonard,Williams,082 906 1421,01-09-1955,Capricorn,01-03-2017,O+,250.4,113.8,184,33.6129
5752,male,Chidubem,Nwabugwu,082 463 8922,03-08-1979,Pisces,01-04-2019,O-,207,94.1,186,27.1997
5753,male,Matthew,Birch,084 982 0327,09-07-1988,Virgo,01-07-2018,O+,207.7,94.4,188,26.7089
5754,female,Shishay,Tewelde,084 367 2314,6-22-1964,Cancer,01-05-2016,B+,146.5,66.6,169,23.3185
5755,male,Vitaly,Gerasimov,085 255 2439,04-07-1981,Aries,01-06-2017,B+,154.7,70.3,183,20.992
5756,female,Mai,Hara,084 493 6284,9-21-1978,Virgo,01-01-2016,B+,170.7,77.6,175,25.3388
5757,male,Kelechi,Ositadimma,085 494 8857,06-09-1960,Gemini,01-03-2016,A+,237.2,107.8,187,30.8273
5758,male,Adam,Carpenter,084 927 1843,04-02-1965,Aries,01-07-2019,O+,196.7,89.4,183,26.6953
5759,male,Hirotsugu,Aoki,084 772 7528,3-24-1976,Aries,01-09-2018,AB+,180.8,82.2,187,23.5065
5760,female,Chan,Wan,082 416 3037,5-26-1966,Gemini,01-01-2016,AB+,182.2,82.8,159,32.7519
5761,female,Margaret,Donnelly,085 845 0754,10-24-1963,Scorpio,01-09-2019,O+,133.1,60.5,157,24.5446
5762,male,Liam,Donoghue,082 541 9910,8-25-1966,Virgo,01-11-2020,B+,143.2,65.1,169,22.7933
5763,male,Chiazagomekpere,Nwachinemelu,082 912 9155,02-12-1970,Aquarius,01-06-2016,O+,245.3,111.5,176,35.9956
5764,female,Abby,Lawry,084 595 7756,3-15-1967,Pisces,01-04-2017,A+,197.1,89.6,161,34.5666
5765,male,Floyd,Gutierez,083 436 8516,1-31-1980,Aquarius,01-09-2020,O+,246.4,112,172,37.8583
5766,female,Kanami,Shibutani,085 378 4994,04-04-1958,Aries,01-02-2016,A+,146.5,66.6,161,25.6935
5767,male,Kiyuu,Takai,084 580 5765,10-24-1952,Scorpio,01-12-2019,O+,168.5,76.6,175,25.0122
5768,male,Azubuike,Chiazagomekpele,085 696 3922,8-29-1993,Virgo,01-04-2017,O+,151.4,68.8,176,22.2107
5769,male,Kai,Dettmann,082 409 2811,5-14-1976,Taurus,01-04-2018,B+,159.9,72.7,170,25.1557
5770,male,Amedeo,Lori,085 314 1510,07-05-1986,Cancer,01-02-2018,B+,159.3,72.4,168,25.6519
5771,male,Sun,Chung,085 170 2076,2-26-1951,Pisces,01-09-2019,A+,235.2,106.9,185,31.2345
5772,male,Austin,Ley,083 400 7811,06-11-1960,Gemini,01-08-2020,O+,163.2,74.2,182,22.4007
5773,male,Makar,Efimov,082 652 3254,05-04-1970,Taurus,01-07-2020,O+,151.8,69,178,21.7776
5774,male,Ashton,Shadforth,083 622 2148,6-23-1963,Cancer,01-12-2020,O+,163.7,74.4,169,26.0495
5775,female,Heather,Craig,082 763 0503,11-13-1958,Scorpio,01-10-2019,B+,137.1,62.3,173,20.8159
5776,female,Isabelle,Kippax,085 592 6827,7-24-1969,Leo,01-01-2018,O+,209.9,95.4,155,39.7086
5777,female,Josie,Craig,082 533 1493,02-02-1991,Aquarius,01-08-2017,O+,154,70,159,27.6888
5778,female,Christina,Mosley,082 724 2798,08-08-1968,Leo,01-09-2020,AB+,173.8,79,174,26.0933
5779,male,Lincoln,Anstey,082 355 0981,3-17-1969,Pisces,01-01-2019,O+,242,110,178,34.7178
5780,male,Iroawuchi,Kwemto,084 608 8861,2-22-1993,Pisces,01-08-2019,O+,210.5,95.7,176,30.8949
5781,male,Jonathan,Martinez,085 466 3818,10-05-1950,Libra,01-04-2017,A+,151.8,69,168,24.4473
5782,male,Ayden,Watt,082 133 3662,10-09-1963,Libra,01-03-2018,AB+,224.8,102.2,171,34.9509
5783,male,Ethan,Mullen,085 411 8331,10-15-1981,Libra,01-11-2016,A+,228.1,103.7,188,29.3402
5784,female,Amber,Henderson,084 322 4549,7-15-1993,Cancer,01-08-2016,A+,147.6,67.1,165,24.6465
5785,male,Rodolfo,Bruno,083 443 8352,4-28-1986,Taurus,01-03-2020,O+,230.6,104.8,171,35.8401
5786,female,Chiyuki,Mikami,082 689 9572,5-14-1981,Taurus,01-10-2017,AB+,214.7,97.6,170,33.7716
5787,female,Livia,Ferrari,082 573 9552,02-05-1993,Aquarius,01-12-2020,B+,212.7,96.7,166,35.0922
5788,female,Xin Qian,Chia,082 397 5339,5-27-1981,Gemini,01-06-2018,A+,170.5,77.5,156,31.8458
5789,male,Tomoaki,Fujino,085 501 0391,10-11-1958,Libra,01-03-2017,B+,217.1,98.7,182,29.7971
5790,male,Jeffrey,Askew,082 600 4608,6-19-1990,Gemini,01-05-2016,O+,175.1,79.6,171,27.2221
5791,male,Yawara,Matsuo,085 293 8950,08-09-1982,Leo,01-03-2018,A+,208.6,94.8,182,28.6197
5792,female,Abby,Hobart,085 527 0123,5-25-1952,Gemini,01-10-2017,A+,182.2,82.8,163,31.1641
5793,female,Mee,Pan,083 873 5184,12-25-1991,Capricorn,01-06-2020,O+,145,65.9,175,21.5184
5794,male,Filmon,Fikru,082 820 9990,12-15-1976,Sagittarius,01-04-2016,A+,158.8,72.2,181,22.0384
5795,female,Noko,Ishihara,085 625 6054,12-22-1990,Capricorn,01-05-2016,AB+,161.3,73.3,170,25.3633
5796,male,Giona,Marchesi,084 606 9559,02-09-1980,Aquarius,01-04-2020,O+,229,104.1,182,31.4274
5797,female,Kiara,Way,082 110 1852,12-08-1974,Sagittarius,01-09-2016,A+,218.2,99.2,171,33.925
5798,female,Uliana,Aliyeva,083 124 9207,7-15-1963,Cancer,01-05-2020,A-,178.2,81,167,29.0437
5799,female,Chiaki,Sekine,085 927 8157,12-03-1982,Sagittarius,01-06-2018,O+,146.1,66.4,170,22.9758
5800,male,Stanislav,Baryshnikov,082 280 5735,1-31-1952,Aquarius,01-04-2016,B+,140.1,63.7,168,22.5694
5801,female,Gemma,Stevenson,083 536 4126,1-19-1993,Capricorn,01-10-2017,O+,147,66.8,169,23.3885
5802,female,Kayla,Spielvogel,083 467 6444,8-31-1963,Virgo,01-06-2017,AB+,130.9,59.5,156,24.4494
5803,male,Fumiya,Ninomiya,083 741 7370,9-18-1988,Virgo,01-11-2017,O+,188.8,85.8,180,26.4815
5804,male,Zac,McCubbin,085 373 9905,7-25-1989,Leo,01-05-2019,B+,214.5,97.5,185,28.4879
5805,male,Bailey,Humphreys,084 270 0515,6-19-1976,Gemini,01-02-2018,A+,214.3,97.4,181,29.7305
5806,male,Barry,McKay,085 571 2988,03-06-1955,Pisces,01-03-2016,O+,177.3,80.6,169,28.2203
5807,female,Delmina,Colombo,084 507 9730,11-11-1988,Scorpio,01-10-2016,B+,206.4,93.8,165,34.4536
5808,male,Aman,Goytiom,085 910 9028,12-22-1974,Capricorn,01-12-2018,O+,186.6,84.8,184,25.0473
5809,male,Plato,Aksyonov,083 808 6037,07-09-1975,Cancer,01-12-2016,A-,169.4,77,186,22.2569
5810,male,Furio,Trevisano,082 973 4356,4-25-1970,Taurus,01-03-2016,O-,170.3,77.4,174,25.5648
5811,male,Mayuhiko,Koda,084 615 5932,7-18-1991,Cancer,01-02-2019,B+,200,90.9,190,25.1801
5812,female,Stanislaus,Gerasimova,082 630 3441,2-26-1983,Pisces,01-01-2020,O+,212.1,96.4,166,34.9833
5813,female,Prisca,Lucchese,085 858 2075,6-29-1970,Cancer,01-09-2017,A+,173.6,78.9,158,31.6055
5814,male,Masuto,Takemoto,084 213 7284,4-15-1953,Aries,01-11-2018,O+,174.5,79.3,180,24.4753
5815,male,Chinwendu,Eberechukwu,085 704 2903,9-15-1987,Virgo,01-05-2018,AB+,159.9,72.7,185,21.2418
5816,male,Jerry,Campos,085 436 3848,2-26-1974,Pisces,01-04-2018,O+,230.3,104.7,178,33.0451
5817,female,Otutodilichukwu,Ekwueme,085 315 7929,06-10-1986,Gemini,01-11-2019,B+,128.7,58.5,170,20.2422
5818,male,Maximilian,Bell,082 104 3768,10-08-1965,Libra,01-07-2016,B+,169.8,77.2,171,26.4013
5819,female,Aurelia,Ricci,085 467 2979,9-18-1987,Virgo,01-02-2016,O+,213,96.8,166,35.1285
5820,female,Gimja,Futsum,083 451 7346,4-29-1954,Taurus,01-12-2019,A-,170.5,77.5,161,29.8985
5821,female,Gemma,Simpson,085 237 2979,03-11-1954,Pisces,01-10-2019,O+,172,78.2,166,28.3786
5822,female,Jessica,Muecke,085 630 1983,05-06-1951,Taurus,01-03-2018,O-,129.6,58.9,166,21.3747
5823,male,Okita,Nozaki,083 160 2042,01-08-1977,Capricorn,01-08-2017,A+,177.3,80.6,170,27.8893
5824,male,Wang,Chou,082 104 2427,9-29-1951,Libra,01-08-2020,O+,175.3,79.7,181,24.3277
5825,female,Tayla,Ennor,083 798 1405,02-04-1976,Aquarius,01-02-2018,O+,197.3,89.7,172,30.3204
5826,male,Tyson,Cuthbert,084 335 4557,2-23-1971,Pisces,01-07-2016,O+,208.1,94.6,174,31.2459
5827,female,Morgan,Holland,082 219 6705,07-07-1964,Cancer,01-02-2019,B+,165,75,172,25.3515
5828,female,Macy,Cameron,083 702 3305,10-25-1952,Scorpio,01-10-2020,A+,214.5,97.5,166,35.3825
5829,female,Anayochukwu,Chukwuebuka,083 887 0106,12-31-1987,Capricorn,01-12-2017,A+,170.9,77.7,163,29.2446
5830,male,Joshua,Hicks,083 729 5602,06-06-1964,Gemini,01-02-2019,O+,204.8,93.1,185,27.2023
5831,female,Caitlyn,Bray,084 389 0431,9-16-1965,Virgo,01-06-2017,A+,180.6,82.1,158,32.8874
5832,female,Sarama,Habte,083 552 3091,10-29-1962,Scorpio,01-06-2018,O-,151.8,69,161,26.6193
5833,male,Azelio,Bergamaschi,085 985 1705,6-25-1959,Cancer,01-07-2020,B+,151.4,68.8,174,22.7243
5834,male,Alberto,Fallaci,082 226 2338,11-09-1951,Scorpio,01-06-2018,A+,204.8,93.1,184,27.4988
5835,male,Patrizio,Loggia,083 387 5810,09-07-1969,Virgo,01-04-2016,O+,237.6,108,175,35.2653
5836,female,Hollie,Perkins,083 550 4398,08-12-1965,Leo,01-08-2019,O+,222,100.9,171,34.5063
5837,female,Tao,Tsai,083 948 5556,2-15-1951,Aquarius,01-04-2016,O+,163.5,74.3,154,31.3291
5838,male,Daniel,Nash,082 659 1878,4-26-1958,Taurus,01-03-2020,O+,142.3,64.7,181,19.7491
5839,male,Haile,Awet,082 621 2408,08-12-1964,Leo,01-11-2020,AB+,141.9,64.5,169,22.5832
5840,male,Joshua,Wand,085 525 5395,02-11-1989,Aquarius,01-02-2017,O-,152.2,69.2,182,20.8912
5841,male,Futsum,Ambessa,085 663 7564,9-28-1952,Libra,01-07-2018,A+,152,69.1,169,24.1938
5842,female,Mollie,Nicholls,085 682 6546,10-04-1961,Libra,01-05-2017,A+,201.7,91.7,159,36.2723
5843,female,Nkemdiniruka,Amadi,084 970 4639,02-10-1955,Aquarius,01-12-2016,A+,187.2,85.1,171,29.103
5844,male,Ken,Titus,085 257 4792,9-13-1956,Virgo,01-02-2020,A+,201.1,91.4,174,30.1889
5845,male,Jonathon,Deming,084 308 2012,9-13-1972,Virgo,01-12-2020,O+,224,101.8,178,32.1298
5846,male,Ovidio,Giordano,083 250 6642,2-24-1983,Pisces,01-06-2019,O+,243.8,110.8,172,37.4527
5847,male,Lubomir,Bezrukov,085 600 6256,4-19-1993,Aries,01-06-2018,O+,165.9,75.4,188,21.3332
5848,male,Neil,Williamson,085 867 9442,07-07-1983,Cancer,01-10-2020,B+,154.9,70.4,188,19.9185
5849,female,Sari,Saibara,083 258 7378,10-23-1977,Scorpio,01-09-2019,O+,148.1,67.3,168,23.845
5850,male,Callum,Withnell,085 447 4082,08-12-1990,Leo,01-05-2020,A+,213.4,97,175,31.6735
5851,male,Kanayochukwu,Igwebuike,085 520 5484,12-28-1958,Capricorn,01-07-2017,B-,193.2,87.8,183,26.2176
5852,male,Louie,Adams,085 762 2869,11-18-1991,Scorpio,01-10-2016,O+,154.7,70.3,169,24.614
5853,male,Yi,Chia,084 437 5255,03-05-1992,Pisces,01-06-2016,B+,152.7,69.4,173,23.1882
5854,female,Phyllis,Spies,083 570 3497,6-22-1976,Cancer,01-11-2018,A+,170.3,77.4,169,27.0999
5855,male,Ahmad,Hughes,085 921 4264,8-25-1992,Virgo,01-11-2019,B+,190.1,86.4,178,27.2693
5856,female,Yi Ze,He,084 447 8425,02-11-1977,Aquarius,01-07-2019,AB+,215.4,97.9,167,35.1034
5857,male,Ryuuhei,Nemoto,082 288 0563,09-04-1962,Virgo,01-02-2017,B+,163.2,74.2,176,23.954
5858,male,Onyemaechi,Nebechukwu,084 319 5183,10-01-1971,Libra,01-06-2017,B+,154.7,70.3,170,24.3253
5859,male,Kuan-Yin,Fu,083 447 3154,1-28-1991,Aquarius,01-12-2018,A+,158.8,72.2,184,21.3256
5860,male,Somadina,Chidimma,083 362 2643,1-14-1980,Capricorn,01-08-2018,B+,172.5,78.4,169,27.45
5861,female,Li Rong,Lung,083 443 8501,01-03-1956,Capricorn,01-01-2017,O+,136.8,62.2,157,25.2343
5862,male,Souta,Matsushima,083 541 1842,2-28-1958,Pisces,01-06-2020,O+,164.6,74.8,175,24.4245
5863,male,Ogochukwu,Onyekaozulu,082 568 4053,03-12-1992,Pisces,01-04-2018,O+,194,88.2,172,29.8134
5864,female,Nile,Girma,085 840 0375,12-16-1962,Sagittarius,01-06-2018,B+,147.2,66.9,166,24.2778
5865,male,Rory,Dallas,085 460 4555,9-19-1953,Virgo,01-06-2020,AB+,148.5,67.5,171,23.084
5866,female,Ping,Tsao,082 382 0573,12-03-1975,Sagittarius,01-07-2020,AB-,167.4,76.1,166,27.6165
5867,male,Cheng,Ch'ien,082 446 3390,02-02-1990,Aquarius,01-03-2018,B+,194.7,88.5,167,31.7329
5868,male,Jesse,Andrews,084 453 5367,2-19-1952,Pisces,01-06-2018,A+,234.3,106.5,179,33.2387
5869,female,Alice,Ilyina,082 321 0205,8-28-1992,Virgo,01-05-2020,B+,121.2,55.1,168,19.5224
5870,male,Yumiya,Kawano,083 450 9492,2-23-1980,Pisces,01-11-2016,O+,219.8,99.9,183,29.8307
5871,male,Akabueze,Ifeanyichukwu,084 860 3945,9-21-1983,Virgo,01-12-2016,O+,250.4,113.8,183,33.9813
5872,male,Kinfe,Tewolde,082 715 8894,5-19-1963,Taurus,01-12-2020,B+,153.8,69.9,187,19.9891
5873,female,Amaechi,Olisaemeka,083 329 6471,11-01-1962,Scorpio,01-05-2020,O+,120.3,54.7,168,19.3807
5874,female,Mirella,Beneventi,083 823 4087,11-10-1977,Scorpio,01-09-2018,A+,166.5,75.7,174,25.0033
5875,male,Tyler,Grey,084 929 4121,01-11-1992,Capricorn,01-07-2020,O+,221.8,100.8,177,32.1747
5876,male,Hotaka,Ochiai,083 875 8286,2-14-1971,Aquarius,01-06-2016,O+,167.9,76.3,181,23.2899
5877,male,Nworie,Nwokezuike,083 629 7083,11-25-1983,Sagittarius,01-08-2018,A+,189.4,86.1,172,29.1036
5878,male,Earl,Rose,083 415 7312,7-19-1958,Cancer,01-01-2018,A+,238.5,108.4,174,35.8039
5879,female,Huan,Chiu,083 760 3416,5-13-1974,Taurus,01-12-2020,A+,204.2,92.8,170,32.1107
5880,male,Toshiki,Sugimoto,085 582 4849,5-23-1991,Gemini,01-02-2016,B+,235,106.8,186,30.8706
5881,male,Arthur,Tretiakov,084 559 3796,9-15-1965,Virgo,01-10-2018,A+,216.3,98.3,176,31.7342
